symbol,tier,sector,day0_date,surprise_percentage,pnl_pct
AAON,small,Industrials,2014-05-06,52.94,-0.5325103297289364
AAON,small,Industrials,2014-08-08,-14.3,-0.29228712352506103
AAON,small,Industrials,2014-11-07,-4.36,1.392320769853835
AAON,small,Industrials,2015-03-02,1.78,-0.8837516927831244
AAON,small,Industrials,2015-05-08,-6.25,1.5409203544889465
AAON,small,Industrials,2015-08-07,-11.77,0.792908773236581
AAON,small,Industrials,2015-11-03,-6.25,-2.708941222164208
AAON,small,Industrials,2016-02-26,19.99,0.06336627902843217
AAON,small,Industrials,2016-05-06,2.56,2.05097163887329
AAON,small,Industrials,2016-08-05,9.46,-2.4818177726540367
AAON,small,Industrials,2016-11-04,3.57,1.3177773878785288
AAON,small,Industrials,2017-02-24,-16.0,-6.365257111733779
AAON,small,Industrials,2017-05-05,-8.06,-1.580130501871312
AAON,small,Industrials,2017-08-04,-9.3,-3.2747503029836773
AAON,small,Industrials,2017-11-03,-2.32,0.6463120065767105
AAON,small,Industrials,2018-02-28,25.0,-3.026718656808133
AAON,small,Industrials,2018-05-04,-65.22,-4.66664882252103
AAON,small,Industrials,2018-08-03,1.54,-2.4456115627879935
AAON,small,Industrials,2018-11-02,-3.57,0.4012989974352532
AAON,small,Industrials,2019-03-01,-13.25,-2.098456619454505
AAON,small,Industrials,2019-05-03,-10.0,-3.524413906953196
AAON,small,Industrials,2019-08-02,-9.09,-8.670413222496235
AAON,small,Industrials,2019-11-01,-8.24,0.2539651587326689
AAON,small,Industrials,2020-02-28,12.5,-2.4970678858847286
AAON,small,Industrials,2020-05-08,16.04,1.4074410649294062
AAON,small,Industrials,2020-08-07,-8.93,-1.3654894754848301
AAON,small,Industrials,2020-11-06,24.58,-1.4301284133871048
AAON,small,Industrials,2021-02-26,20.69,0.6899549698202045
AAON,small,Industrials,2021-05-07,12.5,-2.4417950773780634
AAON,small,Industrials,2021-08-06,17.52,-5.326865886600733
AAON,small,Industrials,2021-11-05,-24.35,1.0369647696518682
AAON,small,Industrials,2022-03-01,-34.94,-1.0419032832674588
AAON,small,Industrials,2022-05-06,20.73,-6.493169529792327
AAON,small,Industrials,2022-08-09,-26.23,-1.4060751356904972
AAON,small,Industrials,2022-11-08,17.69,-12.079592039204329
AAON,small,Industrials,2023-02-28,27.54,-10.048553472321561
AAON,small,Industrials,2023-05-05,26.42,-5.770807412989482
AAON,small,Industrials,2023-08-04,26.15,-4.532898201345327
AAON,small,Industrials,2023-11-07,17.25,-0.25457059924156633
AAON,small,Industrials,2024-02-29,7.69,-1.3309899198124442
AAON,small,Industrials,2024-05-03,-5.15,-11.988554855784232
AAON,small,Industrials,2024-08-02,20.39,0.9430241758925677
AAON,small,Industrials,2024-11-08,10.2,-13.60052714586002
AAON,small,Industrials,2025-02-28,-43.7,2.2447369730043962
AAON,small,Industrials,2025-05-01,56.97,-2.2544981541284024
AAON,small,Industrials,2025-08-12,-32.52,-11.958927431527849
AAON,small,Industrials,2025-11-07,14.91,-2.676956194447396
AAON,small,Industrials,2026-03-03,-15.22,-7.342780148688132
AAON,small,Industrials,2026-05-08,63.27,-1.8812364796745795
AAPL,large,Tech,2006-10-19,0.0,-4.686984133123113
AAPL,large,Tech,2007-01-18,33.3333,-3.9108258799163296
AAPL,large,Tech,2007-04-26,50.0,-2.4088333665890067
AAPL,large,Tech,2007-07-26,0.0,-4.473099878879797
AAPL,large,Tech,2007-10-23,33.3333,-5.257797691182544
AAPL,large,Tech,2008-01-23,0.0,-8.04078108209231
AAPL,large,Tech,2008-04-24,13.3333,-1.3646514213158945
AAPL,large,Tech,2008-07-22,13.3333,-0.453629636950057
AAPL,large,Tech,2008-10-22,12.5,-0.08355742788039944
AAPL,large,Tech,2009-01-22,25.0,-4.294888936006909
AAPL,large,Tech,2009-04-23,18.75,-1.4528879222178779
AAPL,large,Tech,2009-07-22,11.7647,-2.1294931223192304
AAPL,large,Tech,2009-10-20,30.0,-3.790568451695284
AAPL,large,Tech,2010-01-26,73.3333,0.3294606077833644
AAPL,large,Tech,2010-04-21,37.1429,-5.257757132935159
AAPL,large,Tech,2010-07-21,13.6364,0.5473261781921315
AAPL,large,Tech,2010-10-19,13.7931,-1.5758390685188006
AAPL,large,Tech,2011-01-19,19.4805,0.15767135779236718
AAPL,large,Tech,2011-04-21,18.1818,-1.4682692463439364
AAPL,large,Tech,2011-07-20,33.7349,-1.5947387547888183
AAPL,large,Tech,2011-10-19,-4.717,-3.976807372887737
AAPL,large,Tech,2012-01-25,36.5517,-5.466168265430813
AAPL,large,Tech,2012-04-25,23.0769,-7.111103993498348
AAPL,large,Tech,2012-07-25,-10.1351,-3.4460854600813753
AAPL,large,Tech,2012-10-26,-0.8,0.5947776531149861
AAPL,large,Tech,2013-01-24,2.6042,-10.603199920449882
AAPL,large,Tech,2013-04-24,0.6993,1.4074052610767638
AAPL,large,Tech,2013-07-24,1.9048,-4.1295403403477415
AAPL,large,Tech,2013-10-29,3.5088,-1.6741612246851933
AAPL,large,Tech,2014-01-28,2.9851,-6.903056313593476
AAPL,large,Tech,2014-04-24,13.6986,-7.511359236586195
AAPL,large,Tech,2014-07-23,4.065,-1.8508156563179496
AAPL,large,Tech,2014-10-21,8.3969,-1.4677790809151623
AAPL,large,Tech,2015-01-28,17.6923,-4.095028919037667
AAPL,large,Tech,2015-04-28,7.8704,-0.6566312727480282
AAPL,large,Tech,2015-07-22,2.2099,-3.134847105741981
AAPL,large,Tech,2015-10-28,4.2553,-2.9616218261339182
AAPL,large,Tech,2016-01-27,1.548,-4.81523346975795
AAPL,large,Tech,2016-04-27,-5.0,-5.2954971824115376
AAPL,large,Tech,2016-07-27,2.8986,-5.789729032548115
AAPL,large,Tech,2016-10-26,0.6024,-1.6808657925933193
AAPL,large,Tech,2017-02-01,4.6729,-5.676402139372477
AAPL,large,Tech,2017-05-03,3.9604,0.2974187751244484
AAPL,large,Tech,2017-08-02,6.3694,-4.080009568655155
AAPL,large,Tech,2017-11-03,10.6952,-1.6110820981667056
AAPL,large,Tech,2018-02-02,0.7772,-3.5786422363946295
AAPL,large,Tech,2018-05-02,1.487,-3.027171022838458
AAPL,large,Tech,2018-08-01,7.3394,-5.134706069167249
AAPL,large,Tech,2018-11-02,4.2857,-4.897790899831179
AAPL,large,Tech,2019-01-30,0.9615,-4.552593451871961
AAPL,large,Tech,2019-05-01,5.0847,-4.15974196031914
AAPL,large,Tech,2019-07-31,3.7736,-1.2198588085567579
AAPL,large,Tech,2019-10-31,7.0423,-1.2840006890595936
AAPL,large,Tech,2020-01-29,9.6491,-0.9653763800084398
AAPL,large,Tech,2020-05-01,14.2857,0.6352417278828455
AAPL,large,Tech,2020-07-31,27.451,-9.086450451779813
AAPL,large,Tech,2020-10-30,4.2857,-3.506238365939953
AAPL,large,Tech,2021-01-28,18.3099,-1.844998297406
AAPL,large,Tech,2021-04-29,42.8571,1.006151836154008
AAPL,large,Tech,2021-07-28,28.7129,-0.09909397303377099
AAPL,large,Tech,2021-10-29,0.0,-0.9280306826600908
AAPL,large,Tech,2022-01-28,11.1111,-5.96440373922471
AAPL,large,Tech,2022-04-29,6.2937,-2.034956296488225
AAPL,large,Tech,2022-07-29,4.3478,-2.0333108564078923
AAPL,large,Tech,2022-10-28,1.5748,-5.741472369879627
AAPL,large,Tech,2023-02-03,-3.5897,-1.2916433787549486
AAPL,large,Tech,2023-05-05,6.2937,-3.7061815990388154
AAPL,large,Tech,2023-08-04,5.8824,-4.126270188986155
AAPL,large,Tech,2023-11-03,5.036,0.4232371824995753
AAPL,large,Tech,2024-02-02,3.3175,0.5460808948878684
AAPL,large,Tech,2024-05-03,2.0,-4.686094126728806
AAPL,large,Tech,2024-08-02,4.4776,0.5190716984935302
AAPL,large,Tech,2024-11-01,2.1053,-0.3243774018194383
AAPL,large,Tech,2025-01-31,2.5641,0.8702480958424206
AAPL,large,Tech,2025-05-02,1.8519,0.3425290351646053
AAPL,large,Tech,2025-08-01,9.7902,-1.906658114451994
AAPL,large,Tech,2025-10-31,4.5198,0.8515814519124218
AAPL,large,Tech,2026-01-30,6.367,0.5434362815140836
AAPL,large,Tech,2026-05-01,3.6082,-2.024700562187679
ABT,large,Healthcare,2014-07-17,6.52,-1.3598351912911109
ABT,large,Healthcare,2014-10-23,3.66,-0.8502442588576908
ABT,large,Healthcare,2015-01-30,-1.79,0.04111547420061634
ABT,large,Healthcare,2015-04-23,12.72,0.5283141085378011
ABT,large,Healthcare,2015-07-23,3.53,0.4919616003045349
ABT,large,Healthcare,2015-10-22,1.22,-1.5541395094601946
ABT,large,Healthcare,2016-01-29,1.72,-1.1024580228580012
ABT,large,Healthcare,2016-04-21,4.45,0.4931846694790333
ABT,large,Healthcare,2016-07-21,3.17,0.5694646756858647
ABT,large,Healthcare,2016-10-20,1.44,-0.4389129874697135
ABT,large,Healthcare,2017-01-26,0.64,-0.8960463542962358
ABT,large,Healthcare,2017-04-20,11.51,-0.3750706508990912
ABT,large,Healthcare,2017-07-21,2.45,0.8645846557633539
ABT,large,Healthcare,2017-10-19,1.05,0.4828378521056962
ABT,large,Healthcare,2018-01-25,1.17,-1.477194692809407
ABT,large,Healthcare,2018-04-19,1.85,0.800802298635405
ABT,large,Healthcare,2018-07-19,2.86,-0.562487491436334
ABT,large,Healthcare,2018-10-18,0.58,-1.6938809498984162
ABT,large,Healthcare,2019-01-24,0.17,0.6656470431673762
ABT,large,Healthcare,2019-04-18,2.13,-0.39592800593439925
ABT,large,Healthcare,2019-07-18,2.23,-1.5072718526708355
ABT,large,Healthcare,2019-10-17,-0.16,0.513866891084925
ABT,large,Healthcare,2020-01-23,0.37,-0.49343227382531984
ABT,large,Healthcare,2020-04-17,7.27,3.978933368627448
ABT,large,Healthcare,2020-07-17,36.92,-1.6964541433423803
ABT,large,Healthcare,2020-10-22,8.0,-1.9577685076481388
ABT,large,Healthcare,2021-01-28,7.11,-4.462927949955644
ABT,large,Healthcare,2021-04-21,3.99,-1.0189375278619457
ABT,large,Healthcare,2021-07-23,14.92,-1.4234567712177486
ABT,large,Healthcare,2021-10-21,47.91,-0.28910365965054297
ABT,large,Healthcare,2022-01-27,9.48,0.5150566806646384
ABT,large,Healthcare,2022-04-21,18.09,0.8197732715026034
ABT,large,Healthcare,2022-07-21,25.29,-1.0162802685684376
ABT,large,Healthcare,2022-10-20,22.9,-1.17888963962491
ABT,large,Healthcare,2023-01-26,9.65,0.8714541179059558
ABT,large,Healthcare,2023-04-20,4.31,-0.16274029847065963
ABT,large,Healthcare,2023-07-21,2.89,-1.2092359521280494
ABT,large,Healthcare,2023-10-19,3.7,1.3252665301847855
ABT,large,Healthcare,2024-01-25,0.04,-0.7909449953552447
ABT,large,Healthcare,2024-04-18,2.81,0.36617650262500934
ABT,large,Healthcare,2024-07-19,3.17,-0.775830502479397
ABT,large,Healthcare,2024-10-17,0.76,0.6230494450331439
ABT,large,Healthcare,2025-01-23,-0.17,-3.659355897725891
ABT,large,Healthcare,2025-04-17,1.74,0.581108796003633
ABT,large,Healthcare,2025-07-18,0.28,-0.8206732294420274
ABT,large,Healthcare,2025-10-16,0.05,-0.6478805061035554
ABT,large,Healthcare,2026-01-23,0.34,0.7758915662148917
ABT,large,Healthcare,2026-04-17,0.33,-0.09301114782001063
ABT,large,Healthcare,2026-07-17,2.61,0.5524878037319974
AMD,large,Tech,2006-10-19,0.0,-11.200960761565279
AMD,large,Tech,2007-01-24,-133.3333,-6.455843790468525
AMD,large,Tech,2007-04-20,-109.3023,0.6136002045585923
AMD,large,Tech,2007-07-20,-16.4557,0.17616417422998532
AMD,large,Tech,2007-10-19,19.6721,-3.9610077822131258
AMD,large,Tech,2008-01-18,48.4848,-7.908569783082802
AMD,large,Tech,2008-04-18,-8.5106,0.83979967934083
AMD,large,Tech,2008-07-18,-15.3846,-9.17763752396841
AMD,large,Tech,2008-10-17,53.8462,5.466853802282767
AMD,large,Tech,2009-01-23,-23.2143,3.5012270770907974
AMD,large,Tech,2009-04-22,1.5873,3.2356257920134683
AMD,large,Tech,2009-07-22,-21.5686,-10.289563963141955
AMD,large,Tech,2009-10-16,60.0,-4.632969386125723
AMD,large,Tech,2010-01-22,-60.0,-10.487034678970746
AMD,large,Tech,2010-04-16,185.7143,-1.7350448396611022
AMD,large,Tech,2010-07-16,83.3333,1.4387064644474001
AMD,large,Tech,2010-10-15,87.5,1.6079043048322164
AMD,large,Tech,2011-01-21,27.2727,-3.7615339973550976
AMD,large,Tech,2011-04-25,60.0,1.4366493058465688
AMD,large,Tech,2011-07-22,12.5,-17.38289265203867
AMD,large,Tech,2011-10-28,50.0,-3.769920948763431
AMD,large,Tech,2012-01-25,18.75,-1.5747032164985857
AMD,large,Tech,2012-04-20,33.3333,-1.1325220714866948
AMD,large,Tech,2012-07-20,-14.2857,-10.244994604823932
AMD,large,Tech,2012-10-19,-25.0,-13.495673647426116
AMD,large,Tech,2013-01-23,33.3333,-8.196262568567857
AMD,large,Tech,2013-04-19,23.5294,1.5357817954268271
AMD,large,Tech,2013-07-19,25.0,-10.265816272654034
AMD,large,Tech,2013-10-18,100.0,-12.096614313955788
AMD,large,Tech,2014-01-22,0.0,-10.307712837605248
AMD,large,Tech,2014-04-21,100.0,-9.890341249260947
AMD,large,Tech,2014-07-18,-33.3333,-14.094399385805453
AMD,large,Tech,2014-10-17,-25.0,-0.7417990636850686
AMD,large,Tech,2015-01-21,-1000.0,-7.500302973914182
AMD,large,Tech,2015-04-17,-50.0,-8.351775998285007
AMD,large,Tech,2015-07-17,-6.25,-0.7125712501119761
AMD,large,Tech,2015-10-16,-41.6667,0.6249753597992753
AMD,large,Tech,2016-01-20,0.0,-3.3927776307961928
AMD,large,Tech,2016-04-22,7.6923,-50.10005166773274
AMD,large,Tech,2016-07-22,44.4444,-9.101695149032755
AMD,large,Tech,2016-10-21,650.0,-4.252277667697259
AMD,large,Tech,2017-02-01,50.0,-14.278287536653494
AMD,large,Tech,2017-05-02,0.0,-22.158094183578463
AMD,large,Tech,2017-07-26,6566.6667,-1.959260447033087
AMD,large,Tech,2017-10-25,25.0,-12.174075584124298
AMD,large,Tech,2018-01-31,60.0,-4.3708508584034895
AMD,large,Tech,2018-04-26,22.2222,-11.490761620320194
AMD,large,Tech,2018-07-26,7.6923,-12.54209327139573
AMD,large,Tech,2018-10-25,8.3333,-11.478763497252427
